,artists,song,album_images,playlist_name,genre
0,"['DDG', 'Blueface']",Moonwalking in Calabasas (feat. Blueface) [Remix],https://i.scdn.co/image/ab67616d00001e026202477d2565e6569926c9bd,RapCaviar,Rap
1,['CJ'],Whoopty,https://i.scdn.co/image/ab67616d00001e027af305bd0347c5d238f9333b,RapCaviar,Rap
2,['Jack Harlow'],Tyler Herro,https://i.scdn.co/image/ab67616d00001e02b4e9cc30c40e502c3472e055,RapCaviar,Rap
3,['Pop Smoke'],Shoot For The Stars Aim For The Moon,https://i.scdn.co/image/ab67616d00001e0277ada0863603903f57b34369,RapCaviar,Rap
4,"['21 Savage', 'Metro Boomin']",SAVAGE MODE II,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,RapCaviar,Rap
5,['DaBaby'],BLAME IT ON BABY (DELUXE),https://i.scdn.co/image/ab67616d00001e02e818d05b79be19f4d49f1ebf,RapCaviar,Rap
6,['Lil Eazzyy'],Onna Come Up,https://i.scdn.co/image/ab67616d00001e02fbbe7026f59d1a4bec1be2b6,RapCaviar,Rap
7,['Internet Money'],B4 The Storm,https://i.scdn.co/image/ab67616d00001e029ca0c952f130e28025209cf0,RapCaviar,Rap
8,['Polo G'],THE GOAT,https://i.scdn.co/image/ab67616d00001e02339f780dfdbc38558ea0761d,RapCaviar,Rap
9,"['21 Savage', 'Metro Boomin']",SAVAGE MODE II,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,RapCaviar,Rap
10,['Pop Smoke'],Shoot For The Stars Aim For The Moon (Deluxe),https://i.scdn.co/image/ab67616d00001e0246e1307c35579c3483ea7b03,RapCaviar,Rap
11,['YoungBoy Never Broke Again'],Top,https://i.scdn.co/image/ab67616d00001e028bd6e34012a7ab6311050d0c,RapCaviar,Rap
12,['Internet Money'],B4 The Storm,https://i.scdn.co/image/ab67616d00001e028de76cfb913ec21e57ed0dee,RapCaviar,Rap
13,"['Drake', 'Lil Durk']",Laugh Now Cry Later (feat. Lil Durk),https://i.scdn.co/image/ab67616d00001e0252c75ed37313b889447011ef,RapCaviar,Rap
14,['YoungBoy Never Broke Again'],Top,https://i.scdn.co/image/ab67616d00001e028bd6e34012a7ab6311050d0c,RapCaviar,Rap
15,['NLE Choppa'],From Dark to Light,https://i.scdn.co/image/ab67616d00001e0215b8c6093289caeb7929599b,RapCaviar,Rap
16,['Kanye West'],Nah Nah Nah (feat. DaBaby & 2 Chainz) [Remix],https://i.scdn.co/image/ab67616d00001e024c9f0f8f1fcab0471a4c66c0,RapCaviar,Rap
17,['NAV'],Emergency Tsunami,https://i.scdn.co/image/ab67616d00001e0292621d7615b7f5d056f5bbfe,RapCaviar,Rap
18,['Lil Tecca'],Virgo World,https://i.scdn.co/image/ab67616d00001e022026d0048432d395f6f715b5,RapCaviar,Rap
